provinces;area;municipalities;wards;stations;
Eastern Cape;EC62: Elundini;Elundini;006;Ngcele Junior Secondary School;
Eastern Cape;EC62: Elundini;Elundini;004;Upper Mhlontlo Senior Primary School;
Eastern Cape;EC62: Elundini;Elundini;016;Cambalala Senior Primary School;
Eastern Cape;EC62: Elundini;Elundini;016;Koloni Senior Primary School;
Eastern Cape;EC62: Elundini;Elundini;011;Noxolo Pre School;
Eastern Cape;EC62: Elundini;Elundini;013;Mashata Presbyterian  Church;
Eastern Cape;EC62: Elundini;Elundini;008;Lengopeng Senior Primary School;
Eastern Cape;EC62: Elundini;Elundini;015;Liphakoeng Senior Primary School;
Eastern Cape;EC62: Elundini;Elundini;015;Liphofong Junior Secondary School;
Eastern Cape;EC62: Elundini;Elundini;008;Batlokoa Junior Secondary School;
Eastern Cape;EC62: Elundini;Elundini;010;Mahemeng Senior Primary School;
Eastern Cape;EC62: Elundini;Elundini;013;Maluti Senior Primary School;
Eastern Cape;EC62: Elundini;Elundini;014;Thabakhubedu Junior Secondary School;
Eastern Cape;EC62: Elundini;Elundini;004;Mdeni Senior Primary School;
Eastern Cape;EC62: Elundini;Elundini;008;Thembeni Senior Primary School;
Eastern Cape;EC62: Elundini;Elundini;008;Natlane Sekonyela Senior Primary School;
Eastern Cape;EC62: Elundini;Elundini;015;Makhuleng Senior Primary School;
Eastern Cape;EC62: Elundini;Elundini;016;Tlokoeng Senior Primary School;
Eastern Cape;EC62: Elundini;Elundini;012;Lehlakaneng Pre School;
Eastern Cape;EC62: Elundini;Elundini;014;Upper Thokoana Senior Primary School;
Eastern Cape;EC62: Elundini;Elundini;014;Phuthing Senior Primary School;
Eastern Cape;EC62: Elundini;Elundini;016;Thembalethu  Senior  Primary  School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;007;Mount Ayliff Town Hall;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;007;Lubalasi Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;007;Santombe Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;007;Mt Ayliff     Senior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;016;Silvercity Church Hall;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;018;Magistrate Offices;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;016;Sophia Township;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;018;Mt Frere Technical College;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;018;Methodist Church Hall;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;016;Extension 7 Hall;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;008;Town Hall;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;008;Zwelitsha Area;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;021;Qaizana Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;024;St Marks Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;012;Mgungundlovu Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;024;Emaxhegweni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;023;Qwidlana Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;014;Huku Senior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;014;Antiok Senior Primaryy School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;010;Lower Mvenyane Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;013;Nkungwini Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;014;Ngwetsheni Senior Primary /Upper Mandileni School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;014;Mt Horeb Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;023;Pondomise Ridge Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;023;Chancele Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;012;Etyeni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;015;Mganu Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;022;Upper Bufallo Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;022;Sodladla Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;022;Lusizini Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;021;Qoqa Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;019;Semeni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;021;Mvuzi Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;011;Zakhele JSS;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;010;Dingezweni Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;017;Simekweni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;017;Cwalinkungu Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;017;St Georges Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;019;Qumra Senior  Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;020;Ngwekazi High School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;021;Toleni Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;021;Dangwana Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;020;Mpemba Jss;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;019;Mtshazi Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;027;Cabazi Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;011;Mhlotsheni Jss;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;012;Mpoza Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;015;Mbonda Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;010;Colana Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;006;Ndarala Senior Primary  School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;024;Upper Mnyamane Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;024;Ncome Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;024;St Methews Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;023;Gcinisizwe Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;013;Mt White Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;013;Sihlahleni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;022;Njijini Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;022;Mabobo Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;015;Bethlehem Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;011;Mzinto Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;017;Sobede Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;027;Mbodleni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;017;Hlane Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;025;Osborn Mission;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;020;Lwandlana Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;012;Lutateni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;010;Nomkholokotho Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;012;Manqilweni Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;024;Ezigadini Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;013;Tsewu Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;013;Nyosini Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;023;Magxeni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;006;Mqhekezweni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;016;Nkulisa Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;020;Majuba Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;010;Mtsila Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;010;Mpamba Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;023;Matyamhlophe Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;020;Mahamane Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;006;Silindini Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;020;Ncapai Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;021;Esseck Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;019;Mntwana Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;020;Cabane Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;014;Mndini Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;015;Gubuzi Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;006;Nqabeni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;006;Syllasville Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;027;Umzimvubu Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;011;Lutshikini JSS;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;027;Sibhozweni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;024;Tshisane Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;013;Ngcozana Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;013;Mgodi Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;012;Ntibane Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;018;Litha Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;024;Chwebeni Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;010;Mdakeni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;010;Nciniba Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;013;Lower Mt Horeb Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;013;Mpungutyane Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;012;Lower Mkhemane Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;020;Lucingweni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;020;Mkhilwa Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;019;Upper Dungu Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;027;Mtsana Church Hall;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;026;Goba Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;015;Mngcisane Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;021;Mpindweni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;014;Bethel Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;014;Niyona Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;014;Sahlulo Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;006;Mqokweni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;011;Sithinteni Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;015;Malongwe Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;011;Qhanqo Junior Secodary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;012;Nguse Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;021;Ntuta Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;015;Zwelitsha Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;023;Qukanca Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;010;Sifolweni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;016;Elliot-Ndabankulu-Makaula Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;015;Thwa Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;015;Elukhanyisweni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;027;Siqhingeni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;023;Mlenze Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;023;Dlabaneni Church;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;022;Kuyasa Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;010;Tembeni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;021;Mvumvu Church Hall;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;024;Lower Mnyamana Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;006;Natala Ntsizwa Junior Sec School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;025;Baphathe SeniorPrimarySchool;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;013;Bethany Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;013;Sidikidini Church Hall;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;027;Mpendla Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;010;Gqala  Church Hall;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;013;Sinyaqa  Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;017;Mzamo Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;020;Ngqinibeni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;024;Fairview Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;025;Maphakama Junior Secondary  School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;021;Mbizweni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;010;Madlangeni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;011;Mkhangisa SPS;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;012;Macheleni Hall;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;013;Luqolweni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;017;Sijika Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;022;Sandlulube Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;024;Mvumelwano Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;025;Vukuzakhe Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;004;Myengwa Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;004;Sigagane Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;003;Gillespie Pre-School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;002;Nkanji Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;006;Gogela Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;026;Lower Cabazana Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;008;Ndakeni Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;011;Rode Senior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;009;Mnikwa Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;008;Dutyini Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;008;Lugelweni Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;005;Fikeni Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;004;Bhetshwana Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;002;Ngwegweni Hall;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;002;Lubaleko Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;002;Sidakeni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;002;Sipolweni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;016;Mbhongweni Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;006;Mbumbazi Combined Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;026;Mvalweni Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;004;Sigidini Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;016;Dedelo Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;001;Lower Brooksnek Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;017;Manzana Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;017;Gxwaleni Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;001;Upper Brooks Nek Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;017;Sipetu Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;026;Upper Cabazana Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;005;Sirhoqobeni Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;008;Ntsizwa Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;003;Tela Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;005;Mapheleni Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;009;Zweledinga Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;006;Ndum-Ndum Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;017;Ntshentshe Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;001;Pepeni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;007;Skhemane Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;017;Zanokhanyo Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;017;Lokwe Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;012;Methodist Church;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;016;Kwantuli St Johns Apostolic Church;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;016;Presbyterian Church;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;017;Zola Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;016;Ibisi Pre-School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;017;Jakuja Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;017;Maliwa Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;016;Luncedweni   Junior   Secondary   School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;026;Tembisa Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;004;Mnqwane Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;003;Ntlavini Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;003;Gugwini Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;004;Mombeni Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;005;Mwaca Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;005;Marhwaqa Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;005;Qadu Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;009;Mhluzini Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;005;Mjoli Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;009;Luxwesa  Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;011;Nyosini Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;009;Sapukanduku Senior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;016;Mkhomanzi Junior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;004;Mcubana Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;008;Nyathini Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;006;Celinkungu Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;001;Thembeni SPS;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;001;Govalele Nomake Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;002;Sahlulo Sps;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;008;Luxwesa Community Hall;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;011;Voveni Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;026;Valiphathwa Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;008;Madadiyela Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;026;Nonkqubela Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;003;Lokhwe Shed;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;003;Siyamthemba Pre-School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;005;Noncedo Store;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;005;Ndzongiseni SPS;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;023;Gxaku Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;023;Mvuzi Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Umzimvubu;023;Gebane Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;014;Tonti Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;015;Wayo Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;016;Lunzwana Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;015;Cetshejunior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;015;Mfundisweni College;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;015;Mabofu Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;015;Mazeni Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;016;Buhlambo Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;015;Dakile Senior Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;015;Thembile Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;016;Dlephu Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;001;Ntlangano Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;001;Dungu Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;001;Mawonga Higher Primary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;011;Saphukanduku Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;002;Dumsi Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;003;Mathole Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;002;Xopho Junior Secondary School;
Eastern Cape;EC63: Umzimvubu - Ntabankulu;Ntabankulu;004;Isilindini Junior Secondary School;
